6160,3710,11.0119
51795,21210,9.3503
60541,24380,15.7421
8114,4188,8.9398
200,182,0.7104
200,176,0.5357
8794,8294,5.5424
7537,5082,15.1966
38452,26668,25.5305
199,178,0.561
9877,7368,8.5049
53444,21836,10.4525
45307,17220,8.6071
25123,10222,6.8149
53610,21340,9.7962
153,150,0.5398
23541,21082,13.3947
49212,20402,9.2622
200,186,0.6001
57287,23296,19.3532
24765,10220,7.1773
12589,10796,8.2127
27717,20696,25.9166
7620,5710,12.208
23194,9798,6.2647
6140,3694,11.4917
65866,26862,11.6382
54991,22422,9.9807
13431,12308,8.354
62853,26676,16.8657
200,188,0.6108
1490,1060,1.5729
4410,3370,3.5458
1490,1060,1.3689
200,178,0.6092
26300,20000,14.0316
198,182,0.6008
786,732,5.2779
6795,5190,4.9162
210,198,0.497
200,192,0.7191
200,184,0.7155
200,188,0.6102
200,190,0.8316
200,180,0.7357
200,188,0.5711
200,186,0.8184
200,186,0.9764
200,184,0.6129
200,186,0.8457
200,192,0.9769
200,182,1.3363
200,182,0.649
200,186,0.7188
200,182,0.683
200,188,0.7443
200,188,0.8584
200,188,0.8705
200,180,0.7995
200,184,0.7383
200,188,0.6182
199,188,0.7842
200,188,0.9447
200,184,0.6952
200,186,0.81
200,182,0.8625
200,186,0.6496
200,180,0.6804
200,182,0.7857
200,180,0.8295
200,178,0.7469
200,186,0.8241
200,180,1.3244
200,182,0.6379
26300,20000,14.016
26300,20000,14.7775
200,180,0.6996
11349,8668,7.3728
26300,20000,13.6958
26300,20000,14.1016
199,190,1.1844
200,188,0.679
200,188,0.9004
13590,10380,9.5576
11470,8876,7.1451
26300,20000,13.5396
13590,10380,8.5199
26300,20000,13.6971
57316,46356,20.1415
11349,8668,9.8348
200,190,0.8931
450,450,5.3609
200,184,0.9521
5960,4240,5.0245
15783,12056,8.7801
26300,20000,14.4134
18096,13822,10.5778
26300,20000,13.6536
26300,20000,12.9732
26300,20000,13.7912
26300,20000,13.2667
26300,20000,13.7217
15783,12056,9.4483
26300,20000,13.1031
26300,20000,13.9332
2980,2120,2.7775
13590,10380,8.4738
26300,20000,13.643
66992,54220,22.7586
98128,73174,25.8498
450,450,5.7141
18096,13822,14.0723
26300,20000,13.7718
15783,12056,9.9634
18096,13822,11.1977
26300,20000,13.2598
18096,13822,11.1523
26300,20000,13.3572
18096,13822,13.8778
70144,52076,21.2801
18096,13822,10.4727
26300,20000,13.8
26300,20000,13.8246
26300,20000,13.9832
26300,20000,13.8153
18096,13822,10.7104
18096,13822,11.1025
26300,20000,13.4439
15783,12056,9.2852
26300,20000,13.6921
2980,2120,2.2345
15783,12056,8.9256
15783,12056,10.2524
26300,20000,14.0718
26300,20000,13.2854
18096,13822,10.2376
26300,20000,13.5553
18096,13822,10.0913
18096,13822,9.9977
26300,20000,13.3287
18096,13822,10.1052
2980,2120,2.6438
18096,13822,11.3158
26300,20000,15.2632
18096,13822,10.5451
26300,20000,13.3806
18096,13822,10.4756
26300,20000,13.1503
26300,20000,14.209
26300,20000,13.8342
15783,12056,9.4074
13590,10380,8.3158
29076,22180,14.806
15783,12056,10.0855
26300,20000,14.0016
450,450,5.1481
2980,2120,2.9507
15783,12056,9.369
18096,13822,13.1558
18096,13822,12.3157
138141,102992,32.4626
50635,37800,18.8571
18096,13822,9.9927
29296,22320,14.2333
18096,13822,10.169
3278,2332,3.3709
15783,12056,9.0213
2980,2120,3.2459
4768,3392,3.919
15783,12056,9.3188
18096,13822,12.0905
4025,2820,3.2353
56860,46008,23.7242
2980,2120,2.8181
3523,2482,3.1285
15783,12056,10.5236
5066,3604,4.6749
18096,13822,10.3879
15783,12056,8.9259
15783,12056,9.9345
18096,13822,10.1267
26300,20000,13.7053
72420,54164,24.9043
6290,4420,5.2112
3523,2482,2.9987
26300,20000,13.0071
4227,2978,4.9446
6660,4680,5.8181
7400,5200,6.0387
3875,2730,3.3843
4579,3226,3.7322
2980,2120,2.5541
7030,4940,5.8426
1150,1150,17.7861
1150,1148,21.7623
1534,1534,25.2054
1534,1534,24.0222
1150,1148,16.491999
1534,1534,26.8943
1150,1148,18.0119
